# fk-constraints.txt - pg_constraint dump from mcc-production
# Generated 2026-07-16 via mcp__supabase__execute_sql
# Format: conname	source_table	definition

fleets_owner_id_fkey	fleets	FOREIGN KEY (owner_id) REFERENCES profiles(id) ON DELETE CASCADE
founder_commissions_founder_id_fkey	founder_commissions	FOREIGN KEY (founder_id) REFERENCES member_founder_profiles(id) ON DELETE CASCADE
founder_commissions_referral_id_fkey	founder_commissions	FOREIGN KEY (referral_id) REFERENCES founder_referrals(id) ON DELETE SET NULL
founder_deals_founder_id_fkey	founder_deals	FOREIGN KEY (founder_id) REFERENCES member_founder_profiles(id) ON DELETE CASCADE
founder_invites_founder_id_fkey	founder_invites	FOREIGN KEY (founder_id) REFERENCES member_founder_profiles(id) ON DELETE CASCADE
founder_payouts_founder_id_fkey	founder_payouts	FOREIGN KEY (founder_id) REFERENCES member_founder_profiles(id) ON DELETE CASCADE
founder_payouts_processed_by_fkey	founder_payouts	FOREIGN KEY (processed_by) REFERENCES auth.users(id)
founder_referrals_founder_id_fkey	founder_referrals	FOREIGN KEY (founder_id) REFERENCES member_founder_profiles(id) ON DELETE CASCADE
founder_referrals_provider_profile_id_fkey	founder_referrals	FOREIGN KEY (provider_profile_id) REFERENCES profiles(id) ON DELETE SET NULL
founder_referrals_referred_user_id_fkey	founder_referrals	FOREIGN KEY (referred_user_id) REFERENCES auth.users(id) ON DELETE SET NULL
founding_provider_partners_user_id_fkey	founding_provider_partners	FOREIGN KEY (user_id) REFERENCES auth.users(id)
fuel_logs_member_id_fkey	fuel_logs	FOREIGN KEY (member_id) REFERENCES profiles(id) ON DELETE CASCADE
fuel_logs_vehicle_id_fkey	fuel_logs	FOREIGN KEY (vehicle_id) REFERENCES vehicles(id) ON DELETE CASCADE
household_members_household_id_fkey	household_members	FOREIGN KEY (household_id) REFERENCES households(id) ON DELETE CASCADE
household_members_invited_by_fkey	household_members	FOREIGN KEY (invited_by) REFERENCES auth.users(id)
household_members_user_id_fkey	household_members	FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
household_vehicle_access_household_id_fkey	household_vehicle_access	FOREIGN KEY (household_id) REFERENCES households(id) ON DELETE CASCADE
household_vehicle_access_shared_by_fkey	household_vehicle_access	FOREIGN KEY (shared_by) REFERENCES auth.users(id)
